year,device,count,Decade
1963,RAZOR,2,1960
1963,BLADE,2,1960
1963,JESTER,1,1960
1963,SHIELD,20,1960
1963,DOG,6,1960
1963,BASSET,1,1960
1963,HOUND,1,1960
1963,ANCHOR,8,1960
1963,CREST,7,1960
1963,ARM,1,1960
1963,MAILED,1,1960
1963,HOLDING,3,1960
1963,SWORD,2,1960
1963,HELMET,2,1960
1963,KNIGHT,2,1960
1963,WITH,29,1960
1963,MANTLING,5,1960
1963,QUARTERED,7,1960
1963,CHECKS,4,1960
1963,BEAR,3,1960
1963,MAP,18,1960
1963,AUSTRALIA,6,1960
1963,STYLISED,26,1960
1963,CAT,1,1960
1963,MICE,1,1960
1963,SPIRAL,4,1960
1963,RAYS,1,1960
1963,DIVERGING,6,1960
1963,2,5,1960
1963,CAVEMEN,2,1960
1963,&,24,1960
1963,CAVEWOMEN,2,1960
1963,,67,1960
1963,CARTOON-CHARACTERS,2,1960
1963,IN,39,1960
1963,RAM,1,1960
1963,HEADS,1,1960
1963,EACH,1,1960
1963,CIRCLE,28,1960
1963,RECORD,1,1960
1963,CIRCLES,6,1960
1963,CONCENTRIC,5,1960
1963,WOMAN,6,1960
1963,MODERN,1,1960
1963,BOWL,2,1960
1963,OF,7,1960
1963,SALAD,1,1960
1963,FEATHER,1,1960
1963,DIAMOND,11,1960
1963,GEOMETRIC,7,1960
1963,GLOBES,2,1960
1963,MERIDIANS,11,1960
1963,MAN,24,1960
1963,SILHOUETTES,1,1960
1963,NUDE,2,1960
1963,SILHOUETTE,9,1960
1963,KEY,2,1960
1963,HEARTS,2,1960
1963,THREE,13,1960
1963,INTERLOCKING,3,1960
1963,SCROLLS,2,1960
1963,BULL,1,1960
1963,HEAD,14,1960
1963,PROFILE,1,1960
1963,THISTLE,1,1960
1963,LION,6,1960
1963,EATING,1,1960
1963,HOTDOG,1,1960
1963,HOUSE,1,1960
1963,ON,8,1960
1963,POLE,1,1960
1963,SHELL,1,1960
1963,STRIPES,16,1960
1963,HORIZONTAL,6,1960
