year,device,count,Decade
1976,water,1,1970
1976,colour,1,1970
1976,painting,1,1970
1976,drawing,1,1970
1976,A,29,1970
1976,Plug,1,1970
1976,Roof,1,1970
1976,Gutter,1,1970
1976,Stock,1,1970
1976,Pack,1,1970
1976,Holding,1,1970
1976,Bottles,1,1970
1976,Teaching,1,1970
1976,Aid,1,1970
1976,Trundle,1,1970
1976,Bed,1,1970
1976,inbedded,1,1970
1976,fountain,2,1970
1976,pool,2,1970
1976,An,3,1970
1976,imbedded,1,1970
1976,Illuminated,1,1970
1976,Transportable,1,1970
1976,Table,1,1970
1976,Fountain,2,1970
1976,illuminated,1,1970
1976,transportable,1,1970
1976,Pipe,1,1970
1976,Support,2,1970
1976,Block,1,1970
1976,Combination,4,1970
1976,Canopy-Boat,4,1970
1976,plant,1,1970
1976,pot,1,1970
1976,with,2,1970
1976,lid,2,1970
1976,set,1,1970
1976,containers,1,1970
1976,saucer,1,1970
1976,fluid,2,1970
1976,heater,2,1970
1976,by-pass,2,1970
1976,tee,2,1970
1976,incorporating,1,1970
1976,temperature,1,1970
1976,sensing,1,1970
1976,probe,1,1970
1976,adjustable,1,1970
1976,stand,1,1970
1976,seat,1,1970
1976,gyro,1,1970
1976,glider,1,1970
1976,plane,1,1970
1976,head,1,1970
1976,boat,4,1970
1976,hull,4,1970
1976,portable,1,1970
1976,electric,1,1970
1976,spit,1,1970
1976,Roll-Formed,1,1970
1976,Metal,2,1970
1976,Section,2,1970
1976,fixing,1,1970
1976,clip,1,1970
1976,Front,1,1970
1976,face,1,1970
1976,Power,1,1970
1976,Outlet,1,1970
1976,Lantern,1,1970
1976,Animal-Racing,1,1970
1976,Starting,1,1970
1976,Boxes,1,1970
1976,Tie,1,1970
1976,Display,1,1970
1976,Stand,2,1970
1976,Filter,1,1970
1976,Outer,1,1970
1976,Casing,1,1970
1976,Planter,1,1970
1976,Saucer,1,1970
1976,Unit,1,1970
1976,metal,5,1970
1976,Camera,1,1970
1976,Component,1,1970
1976,Stackable,1,1970
1976,spoon,1,1970
1976,Clothes,1,1970
1976,Line,1,1970
1976,Supporting,2,1970
1976,Arm,1,1970
1976,Saddle,1,1970
1976,Coat,2,1970
1976,Hanger,1,1970
1976,Bottle,1,1970
1976,Set,1,1970
1976,Mugs,1,1970
1976,fencing,2,1970
1976,element,2,1970
1976,Fencing,1,1970
1976,Element,1,1970
1976,Vehicle,5,1970
1976,Wheel,1,1970
1976,Hoe,2,1970
1976,Window,4,1970
1976,Wine,1,1970
1976,Casket,1,1970
1976,Can,1,1970
1976,End,1,1970
1976,Mounting,1,1970
1976,Bracket,1,1970
1976,Hangers,1,1970
1976,Plate,1,1970
1976,Coupe,1,1970
1976,Retractable,1,1970
1976,Locking,1,1970
1976,Member,2,1970
1976,Channel,1,1970
1976,Umbrella,1,1970
1976,Drying,1,1970
1976,Cat,1,1970
1976,Collar,1,1970
1976,Door,1,1970
1976,Knob,1,1970
