UID,lat,lon,applicant_type,application_year
276,-37.902,145.16299,SME,2003
277,-31.938,115.937,Private applicant,2003
278,-37.924,145.216,SME,2003
279,-34.901001,138.658,Private applicant,2003
280,-34.032001,151.064,Private applicant,2003
281,-37.262001,144.48,Private applicant,2003
282,-37.768002,144.806,SME,2003
283,-37.768002,144.806,SME,2003
284,-32.526001,115.702,Private applicant,2003
285,-28.011999,153.42101,Private applicant,2003
286,-41.071999,145.929,SME,2003
287,-38.091,145.16,SME,2003
288,-31.917999,116.049,Private applicant,2003
289,-33.835999,150.927,SME,2003
290,-34.028,150.83501,SME,2003
291,-33.724998,151.142,Private applicant,2003
292,-37.897999,145.13499,SME,2003
293,-37.758999,145.252,Private applicant,2005
294,-33.84,151.21001,Large firm,2004
295,-34.882999,138.534,SME,2005
296,-37.820999,144.967,SME,2005
297,-37.816002,144.959,SME,2005
298,-37.798,144.95599,SME,2005
299,-38.014,145.216,SME,2005
300,-37.999001,145.118,SME,2005
301,-37.902,145.25101,SME,2005
302,-27.308001,153.05299,Private applicant,2005
303,-27.933001,153.298,Private applicant,2005
304,-33.919998,151.22701,Large firm,2005
305,-34.921001,138.60899,Large firm,2005
306,-37.952999,145.048,Large firm,2005
307,-35.278999,149.146,Large firm,2005
308,-38.006001,145.11,SME,2003
309,-38.098999,145.151,SME,2003
310,-37.994999,145.19501,SME,2003
311,-37.924999,145.09399,SME,2003
312,-32.894001,151.724,Large firm,2003
313,-28.273001,153.578,Private applicant,2003
314,-30.799,116.867,Private applicant,2003
315,-27.5,153.05701,Private applicant,2003
316,-36.561001,145.976,Private applicant,2003
317,-33.661999,150.86301,Private applicant,2003
318,-33.839001,151.20799,SME,2003
319,-27.469,153.022,SME,2003
320,-33.882,151.23199,Private applicant,2003
321,-34.535,138.752,SME,2003
322,-37.834,144.97099,Large firm,2003
323,-26.357,152.86301,Private applicant,2003
324,-16.92,145.771,Private applicant,2003
325,-27.370001,153.05499,SME,2003
326,-33.832001,151.05499,SME,2003
327,-32.924,151.63,Private applicant,2003
328,-33.662998,150.86,SME,2003
329,-31.941999,115.852,SME,2003
330,-33.911999,151.20799,SME,2003
331,-37.807999,145.017,SME,2003
332,-33.863998,151.207,SME,2003
333,-34.936001,138.625,SME,2003
334,-37.751999,145.075,Private applicant,2003
335,-31.969,115.815,SME,2003
336,-34.195999,142.127,Private applicant,2003
337,-38.101002,145.146,SME,2003
338,-37.904999,145.222,SME,2003
339,-37.776001,145.01801,Private applicant,2003
340,-33.765999,150.68401,SME,2003
341,-32.909,151.76401,Private applicant,2003
342,-27.441999,153.161,Private applicant,2003
343,-37.974998,145.21001,Private applicant,2003
344,-31.742001,115.756,Private applicant,2003
345,-34.058998,151.13901,Private applicant,2003
346,53.747002,-2.484,Private applicant,2003
347,-33.855999,151.177,SME,2003
348,-33.855999,151.177,SME,2003
349,-33.855999,151.177,SME,2003
350,-33.855999,151.177,SME,2003
351,-33.855999,151.177,SME,2003
352,-33.855999,151.177,SME,2003
353,-33.855999,151.177,SME,2003
354,-33.855999,151.177,SME,2003
355,-26.570999,153.006,SME,2003
356,-33.835999,150.927,SME,2003
357,-37.835999,144.96899,SME,2003
358,-32.803001,149.97,SME,2003
359,-27.614,152.758,SME,2003
360,-31.907,115.762,Private applicant,2003
361,-34.832001,138.49001,Private applicant,2003
362,-21.162001,149.16,SME,2003
363,-27.475,153.00301,SME,2003
364,-28.566999,153.382,Private applicant,2003
365,-27.695,153.093,Private applicant,2003
366,-33.759998,150.91,SME,2003
367,-27.972,153.41701,SME,2003
368,-27.972,153.41701,Private applicant,2003
369,-37.818001,145.187,SME,2003
370,-33.896999,151.19501,SME,2003
371,-37.748001,144.8,SME,2003
372,-33.816002,151.03,Large firm,2003
373,-27.541,153.25999,SME,2003
374,-27.566,153.02699,SME,2003
375,-25.93,113.537,SME,2003
376,-29.868999,152.70599,Private applicant,2003
377,-27.576,153.088,SME,2005
378,-33.867001,151.21201,SME,2004
379,-28.839001,153.554,SME,2005
380,-33.84,151.21001,Large firm,2004
381,-34.341999,150.90601,Private applicant,2005
382,-12.463,130.842,SME,2005
383,-37.846001,144.99001,SME,2005
384,-37.819,145.02699,SME,2006
385,-33.790001,151.131,SME,2005
386,-33.880001,151.22099,SME,2005
387,-37.922001,145.158,Large firm,2004
388,-27.582001,151.939,SME,2005
389,-21.111,149.22301,SME,2005
390,-16.893999,145.728,SME,2005
391,-35.278999,149.146,Large firm,2005
392,-33.729,151.06799,Private applicant,2005
393,-37.912998,145.15601,SME,2003
394,-37.91,145.284,Private applicant,2003
395,-37.91,145.284,Private applicant,2003
396,-37.979,145.08299,SME,2003
397,-21.184,149.16299,SME,2003
398,-30.490999,151.64101,Large firm,2003
